Training network...
Epoch: 0
Error: 8.004993983
Epoch: 1
Error: 8.00486582828
Epoch: 2
Error: 7.00831649819
Epoch: 3
Error: 5.01539610946
Epoch: 4
Error: 4.03815700898
Epoch: 5
Error: 2.04648382919
Epoch: 6
Error: 2.04648180676
Epoch: 7
Error: 2.04647895837
Epoch: 8
Error: 2.04647461668
Epoch: 9
Error: 2.0464670669
Epoch: 10
Error: 2.04644986189
Epoch: 11
Error: 2.04634447829
Epoch: 12
Error: 1.05918287277
Epoch: 13
Error: 1.94476624932
Epoch: 14
Error: 0.950615489642
Epoch: 15
Error: 0.950615489642
Epoch: 16
Error: 0.950615489642
Epoch: 17
Error: 0.950615489642
Epoch: 18
Error: 0.950615489642
Epoch: 19
Error: 0.950615489642
Epoch: 20
Error: 0.950615489642
